name,price_raw,weight_raw,stackable_raw,rarity_raw,category_raw,subcategory_raw,url
Beam Scatter Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/beam-scatter-schematic-3/
Beam Scatter,"2,933,640G",20,No,COMMON,Shotguns,,https://paldex.gg/items/beam-scatter/
Beam Sword Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/beam-sword-schematic-2/
Beam Scatter Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/beam-scatter-schematic-4/
Beam Sword Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/beam-sword-schematic-1/
Beam Sword Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/beam-sword-schematic-4/
Beautiful Flower,500G,0.2,Yes,COMMON,Drugs,,https://paldex.gg/items/beautiful-flower/
Beam Sword,"150,050G",10,No,COMMON,Melee,,https://paldex.gg/items/beam-sword/
Beam Sword Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/beam-sword-schematic-3/
Bellanoir Libero's Slab Fragment,10G,0.25,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/bellanoir-libero-s-slab-fragment/
Beginner Fishing Rod (Gumoss),"15,800G",5,No,COMMON,Fishing rods,,https://paldex.gg/items/beginner-fishing-rod-gumoss/
Beginner Fishing Rod (Chillet),"4,300G",5,No,COMMON,Fishing rods,,https://paldex.gg/items/beginner-fishing-rod-chillet/
Bellanoir Libero's Slab,10G,1,Yes,EPIC,Other,,https://paldex.gg/items/bellanoir-libero-s-slab/
Beginner Fishing Rod (Gumoss) Schematic,"10,000G",0,Yes,COMMON,Blueprint,,https://paldex.gg/items/beginner-fishing-rod-gumoss-schematic/
Bellanoir's Slab Fragment,10G,0.25,Yes,COMMON,Blueprint,,https://paldex.gg/items/bellanoir-s-slab-fragment/
Bellanoir Libero (Ultra) Slab,10G,1,Yes,LEGENDARY,Other,,https://paldex.gg/items/bellanoir-libero-ultra-slab/
Berry Seeds,10G,0.05,Yes,COMMON,Pal materials,,https://paldex.gg/items/berry-seeds/
Bellanoir's Slab,10G,1,Yes,RARE,Other,,https://paldex.gg/items/bellanoir-s-slab/
Bellanoir Libero (Ultra) Slab Fragment,10G,0.25,Yes,RARE,Blueprint,,https://paldex.gg/items/bellanoir-libero-ultra-slab-fragment/
Bio Battery,"2,230G",5,Yes,COMMON,Processed,,https://paldex.gg/items/bio-battery/
Bjorn Hat,"10,000G",7,No,LEGENDARY,Head,,https://paldex.gg/items/bjorn-hat/
Blazamut Bounty Token,1G,0,Yes,RARE,Boss rewards,,https://paldex.gg/items/blazamut-bounty-token/
Blazamut Ryu Saddle,â,0,Yes,LEGENDARY,Pal gear,,https://paldex.gg/items/blazamut-ryu-saddle/
Blazamut Ryu (Ultra) Slab,10G,1,Yes,LEGENDARY,Other,,https://paldex.gg/items/blazamut-ryu-ultra-slab/
Blazamut Ryu Slab Fragment,10G,0.25,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/blazamut-ryu-slab-fragment/
Blazamut's Talisman Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/blazamut-s-talisman-schematic/
Blazamut's Talisman,"38,280G",2,No,EPIC,Accessory,,https://paldex.gg/items/blazamut-s-talisman/
Blazamut Ryu (Ultra) Slab Fragment,10G,0.25,Yes,RARE,Blueprint,,https://paldex.gg/items/blazamut-ryu-ultra-slab-fragment/
Blazamut Ryu Slab,10G,1,Yes,EPIC,Other,,https://paldex.gg/items/blazamut-ryu-slab/
Blazamut Saddle,â,0,Yes,LEGENDARY,Pal gear,,https://paldex.gg/items/blazamut-saddle/
Blazehowl Bounty Token,1G,0,Yes,UNCOMMON,Boss rewards,,https://paldex.gg/items/blazehowl-bounty-token/
Blazehowl Noct Saddle,â,0,Yes,UNCOMMON,Pal gear,,https://paldex.gg/items/blazehowl-noct-saddle/
Bone,200G,1,Yes,COMMON,Pal materials,,https://paldex.gg/items/bone/
Blazehowl Ring Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/blazehowl-ring-schematic/
Blazehowl Ring,"31,200G",2,No,EPIC,Accessory,,https://paldex.gg/items/blazehowl-ring/
Boost Gun,"16,850G",8,No,COMMON,Handguns,,https://paldex.gg/items/boost-gun/
Blazehowl Saddle,â,0,Yes,UNCOMMON,Pal gear,,https://paldex.gg/items/blazehowl-saddle/
Bowler Hat Schematic 1,500G,0,Yes,COMMON,Blueprint,,https://paldex.gg/items/bowler-hat-schematic-1/
Boost Gun Ammo,90G,0.025,Yes,COMMON,Ammo,,https://paldex.gg/items/boost-gun-ammo/
Bowler Hat,"8,640G",4,No,COMMON,Head,,https://paldex.gg/items/bowler-hat/
Bread,300G,0.3,Yes,COMMON,Veggie dishes,,https://paldex.gg/items/bread/
Broncherry Aqua Bounty Token,1G,0,Yes,RARE,Boss rewards,,https://paldex.gg/items/broncherry-aqua-bounty-token/
Broncherry Aqua Saddle,â,0,Yes,RARE,Pal gear,,https://paldex.gg/items/broncherry-aqua-saddle/
Braloha Saddle,â,0,Yes,RARE,Pal gear,,https://paldex.gg/items/braloha-saddle/
Broncherry Bounty Token,1G,0,Yes,COMMON,Boss rewards,,https://paldex.gg/items/broncherry-bounty-token/
Broncherry Fried Noodles,"1,140G",0.5,Yes,RARE,Meat dishes,,https://paldex.gg/items/broncherry-fried-noodles/
Broncherry Meat,500G,5,Yes,UNCOMMON,Raw meat,,https://paldex.gg/items/broncherry-meat/
Broiled Dumud,260G,2,Yes,COMMON,Fish dishes,,https://paldex.gg/items/broiled-dumud/
Broncherry Saddle,â,0,Yes,RARE,Pal gear,,https://paldex.gg/items/broncherry-saddle/
Building Repair Kit,120G,1,Yes,COMMON,Other,,https://paldex.gg/items/building-repair-kit/
Broncherry Rib Roast,600G,5,Yes,UNCOMMON,Meat dishes,,https://paldex.gg/items/broncherry-rib-roast/
Burden Elixir,"264,000G",1,Yes,LEGENDARY,Stat boosters,,https://paldex.gg/items/burden-elixir/
Bulldosu Saddle,â,0,Yes,EPIC,Pal gear,,https://paldex.gg/items/bulldosu-saddle/
Cake,"6,300G",1,Yes,COMMON,Veggie dishes,,https://paldex.gg/items/cake/
Caramel Cotton Candy,500G,0.2,Yes,UNCOMMON,Produce,,https://paldex.gg/items/caramel-cotton-candy/
Caprity Noct Bounty Token,1G,0,Yes,COMMON,Boss rewards,,https://paldex.gg/items/caprity-noct-bounty-token/
Bushi Bounty Token,1G,0,Yes,COMMON,Boss rewards,,https://paldex.gg/items/bushi-bounty-token/
Caprity Meat,170G,2.5,Yes,COMMON,Raw meat,,https://paldex.gg/items/caprity-meat/
Burden Remedy,"120,000G",1,Yes,EPIC,Stat boosters,,https://paldex.gg/items/burden-remedy/
Carbon Fiber,840G,0.2,Yes,COMMON,Processed,,https://paldex.gg/items/carbon-fiber/
Carbonara,"1,260G",0.5,Yes,COMMON,Meat dishes,,https://paldex.gg/items/carbonara/
Carrot Seeds,60G,0.05,Yes,COMMON,Pal materials,,https://paldex.gg/items/carrot-seeds/
Carrot,100G,1,Yes,COMMON,Produce,,https://paldex.gg/items/carrot/
Carrying Lotus (L),"30,000G",0.1,Yes,EPIC,Pal materials,,https://paldex.gg/items/carrying-lotus-l/
Cattiva Hat,500G,4,No,COMMON,Head,,https://paldex.gg/items/cattiva-hat/
Cavern Mushroom,500G,1,Yes,COMMON,Produce,,https://paldex.gg/items/cavern-mushroom/
Cawgnito Hat,500G,4,No,COMMON,Head,,https://paldex.gg/items/cawgnito-hat/
Celaray Lux's Gloves,â,0,Yes,COMMON,Pal gear,,https://paldex.gg/items/celaray-lux-s-gloves/
Carrying Lotus (S),"20,000G",0.1,Yes,RARE,Pal materials,,https://paldex.gg/items/carrying-lotus-s/
Celesdir Noct Saddle,â,0,Yes,LEGENDARY,Pal gear,,https://paldex.gg/items/celesdir-noct-saddle/
Celesdir Noct Bounty Token,1G,0,Yes,LEGENDARY,Boss rewards,,https://paldex.gg/items/celesdir-noct-bounty-token/
Celesdir Bounty Token,1G,0,Yes,LEGENDARY,Boss rewards,,https://paldex.gg/items/celesdir-bounty-token/
Celaray's Gloves,â,0,Yes,COMMON,Pal gear,,https://paldex.gg/items/celaray-s-gloves/
Celestial Emperor's Baton,"51,480G",2,No,EPIC,Accessory,,https://paldex.gg/items/celestial-emperor-s-baton/
Celesdir Saddle,â,0,Yes,LEGENDARY,Pal gear,,https://paldex.gg/items/celesdir-saddle/
Celestial Sigil Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/celestial-sigil-schematic/
Celestial Sigil [Master],10G,1,Yes,LEGENDARY,Other,,https://paldex.gg/items/celestial-sigil-master/
Cement,90G,5,Yes,COMMON,Processed,,https://paldex.gg/items/cement/
Celestial Emperor's Baton Schematic,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/celestial-emperor-s-baton-schematic/
Celestial Sigil,"36,000G",1,Yes,EPIC,Other,,https://paldex.gg/items/celestial-sigil/
Charcoal,30G,2,Yes,COMMON,Ingots,,https://paldex.gg/items/charcoal/
Charge Rifle Ammo,"1,740G",0.01,Yes,COMMON,Ammo,,https://paldex.gg/items/charge-rifle-ammo/
Champion's Emblem,1G,0,Yes,EPIC,Jewelry,,https://paldex.gg/items/champion-s-emblem/
Ceremonial Candlestick Schematic,"10,000G",0,Yes,COMMON,Blueprint,,https://paldex.gg/items/ceremonial-candlestick-schematic/
Charge Rifle Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/charge-rifle-schematic-1/
Charge Rifle Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/charge-rifle-schematic-2/
Charge Rifle Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/charge-rifle-schematic-3/
Charge Rifle Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/charge-rifle-schematic-4/
Charge Rifle,"1,984,560G",20,No,COMMON,Assault rifles,,https://paldex.gg/items/charge-rifle/
Chikipi Cap,"1,000G",4,No,COMMON,Head,,https://paldex.gg/items/chikipi-cap/
Chillet Bounty Token,1G,0,Yes,COMMON,Boss rewards,,https://paldex.gg/items/chillet-bounty-token/
Chillet Ignis Saddle,â,0,Yes,COMMON,Pal gear,,https://paldex.gg/items/chillet-ignis-saddle/
Chillet Saddle,â,0,Yes,COMMON,Pal gear,,https://paldex.gg/items/chillet-saddle/
Chikipi SautÃ©,240G,0.5,Yes,UNCOMMON,Meat dishes,,https://paldex.gg/items/chikipi-saut/
Chikipi Poultry,100G,1,Yes,COMMON,Raw meat,,https://paldex.gg/items/chikipi-poultry/
Chromite,"1,500G",3,Yes,COMMON,Ores,,https://paldex.gg/items/chromite/
Circuit Board,"2,500G",2,Yes,UNCOMMON,Processed,,https://paldex.gg/items/circuit-board/
Cloth Outfit Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/cloth-outfit-schematic-1/
Cloth Outfit Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/cloth-outfit-schematic-2/
Cloth Outfit Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/cloth-outfit-schematic-3/
Cloth,480G,1,Yes,COMMON,Processed,,https://paldex.gg/items/cloth/
Coal,200G,5,Yes,COMMON,Ores,,https://paldex.gg/items/coal/
Coarse Ammo,40G,0.025,Yes,COMMON,Ammo,,https://paldex.gg/items/coarse-ammo/
Cloth Outfit,"1,220G",4,No,COMMON,Body,,https://paldex.gg/items/cloth-outfit/
Cloth Outfit Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/cloth-outfit-schematic-4/
Cold-Resistant Ancient Armor Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/cold-resistant-ancient-armor-schematic-2/
Cold-Resistant Ancient Armor Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/cold-resistant-ancient-armor-schematic-3/
Cold-Resistant Ancient Armor Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/cold-resistant-ancient-armor-schematic-1/
Cold-Resistant Ancient Armor Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/cold-resistant-ancient-armor-schematic-4/
Cold Resistant Hexolite Armor Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/cold-resistant-hexolite-armor-schematic-2/
Cold-Resistant Ancient Armor,"2,144,040G",35,No,COMMON,Body,,https://paldex.gg/items/cold-resistant-ancient-armor/
Cold Resistant Hexolite Armor Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/cold-resistant-hexolite-armor-schematic-1/
Cold Resistant Hexolite Armor Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/cold-resistant-hexolite-armor-schematic-3/
Cold Resistant Hexolite Armor Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/cold-resistant-hexolite-armor-schematic-4/
Cold Resistant Metal Armor Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/cold-resistant-metal-armor-schematic-1/
Cold Resistant Hexolite Armor,"280,800G",35,No,COMMON,Body,,https://paldex.gg/items/cold-resistant-hexolite-armor/
Cold Resistant Metal Armor Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/cold-resistant-metal-armor-schematic-4/
Cold Resistant Metal Armor Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/cold-resistant-metal-armor-schematic-2/
Cold Resistant Pal Metal Armor Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/cold-resistant-pal-metal-armor-schematic-1/
Cold Resistant Metal Armor,"22,130G",30,No,COMMON,Body,,https://paldex.gg/items/cold-resistant-metal-armor/
Cold Resistant Metal Armor Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/cold-resistant-metal-armor-schematic-3/
Cold Resistant Pal Metal Armor Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/cold-resistant-pal-metal-armor-schematic-2/
Cold Resistant Pal Metal Armor Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/cold-resistant-pal-metal-armor-schematic-3/
Cold Resistant Pal Metal Armor,"66,020G",40,No,COMMON,Body,,https://paldex.gg/items/cold-resistant-pal-metal-armor/
Cold Resistant Pelt Armor Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/cold-resistant-pelt-armor-schematic-1/
Cold Resistant Pal Metal Armor Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/cold-resistant-pal-metal-armor-schematic-4/
Cold Resistant Pelt Armor Schematic 3,"10,000G",0,Yes,EPIC,Blueprint,,https://paldex.gg/items/cold-resistant-pelt-armor-schematic-3/
Cold Resistant Pelt Armor Schematic 4,"10,000G",0,Yes,LEGENDARY,Blueprint,,https://paldex.gg/items/cold-resistant-pelt-armor-schematic-4/
Cold Resistant Pelt Armor,"7,920G",10,No,COMMON,Body,,https://paldex.gg/items/cold-resistant-pelt-armor/
Cold Resistant Plasteel Armor Schematic 1,"10,000G",0,Yes,UNCOMMON,Blueprint,,https://paldex.gg/items/cold-resistant-plasteel-armor-schematic-1/
Cold Resistant Pelt Armor Schematic 2,"10,000G",0,Yes,RARE,Blueprint,,https://paldex.gg/items/cold-resistant-pelt-armor-schematic-2/
